Name,Lat,Lon
OF,32.6733333333,118.578333333
OGOMO,30.8166666667,104.93
OJ,24.8622222222,118.630555556
OKADA,1.56666666667,112.633333333
OKTON,39.1461111111,116.901666667
OKVUM,36.4783333333,110.51
OLKIT,4.83666666667,111.855
OMBAR,21.9533333333,109.155
OMBON,33.3566666667,104.271666667
OMLIP,27.71,104.286666667
ONEMI,25.7516666667,110.608333333
OR,40.1219444444,116.588888889
OSCAR,21.8505555556,114.240277778
OSH,40.6083333333,72.7933333333
OSIKA,22.8666666667,110.545
OT,3.325,117.57
OTABO,44.45,123.926666667
OU,36.2,113.116666667
OX,23.8991666667,106.648611111
OY,43.88,87.3666666667
P01,22.1583333333,111.458333333
P02,35.0216666667,118.933333333
P03,22.76,114.531666667
P04,27.075,102.495
P05,38.6983333333,109.771666667
P06,40.2216666667,119.178333333
P07,38.1083333333,119.536666667
P08,23.1566666667,114.501666667
P09,38.25,120.986666667
P10,25.0933333333,118.618333333
P101,22.0166666667,111.311666667
P102,20.5,110.293333333
P104,39.0,107.433333333
P106,35.6377777778,112.81
P108,25.1633333333,106.718333333
P11,32.1633333333,107.843333333
P110,44.1916666667,116.565
P111,42.045,116.165
P114,36.4633333333,115.406666667
P115,32.59,113.04
P116,38.6133333333,120.235
P118,25.7066666667,107.711666667
P12,39.5966666667,108.223333333
P122,37.285,116.988333333
P124,32.0733333333,108.416666667
P125,22.32,109.363333333
P126,28.0833333333,113.388333333
P127,29.3083333333,109.395
P13,20.5,109.716666667
P130,38.7,116.29
P131,38.7019444444,116.761666667
P132,27.34,119.748333333
P133,39.0,118.5
P135,39.5416666667,112.333333333
P136,39.4816666667,112.165
P137,26.9916666667,102.325
P138,35.6133333333,113.396666667
P14,37.0183333333,110.631666667
P140,28.2016666667,107.426666667
P141,26.4283333333,109.021666667
P147,25.3833333333,115.593333333
P15,20.8833333333,109.383333333
P153,39.9083333333,113.378333333
P154,23.32,115.765
P155,22.8966666667,115.888333333
P157,26.5,113.863333333
P158,24.7,109.776666667
P16,35.8333333333,113.261666667
P161,38.735,113.888333333
P163,24.6733333333,115.408333333
P164,37.39,116.936666667
P165,29.4883333333,110.17
P166,24.4133333333,111.283333333
P169,25.3416666667,118.918333333
P17,24.1166666667,117.533333333
P176,26.4033333333,117.785
P177,40.175,121.485
P18,37.2066666667,116.798333333
P180,29.6166666667,120.233333333
P181,34.71,117.131666667
P182,34.72,117.2
P183,34.8166666667,117.76
P189,36.7683333333,116.906666667
P19,20.955,111.055
P198,31.2083333333,119.41
P199,29.9833333333,121.05
P20,22.7383333333,109.325
P200,29.6416666667,119.315
P201,40.915,93.8466666667
P202,40.765,93.6316666667
P204,42.5266666667,91.6833333333
P205,42.3316666667,90.4483333333
P206,30.41,117.198333333
P207,42.8816666667,91.1983333333
P209,39.5333333333,108.331666667
P21,25.25,118.008333333
P210,27.775,100.346666667
P211,28.16,99.58
P212,37.005,119.878333333
P214,28.0833333333,118.5
P215,28.0616666667,117.551666667
P216,27.825,107.766666667
P217,27.055,108.46
P218,36.7666666667,119.633333333
P219,38.4466666667,106.133333333
P22,28.45,120.716666667
P220,44.8333333333,86.8
P221,45.125,86.2833333333
P222,43.6383333333,85.8416666667
P223,33.9416666667,117.183333333
P224,45.3916666667,125.798333333
P225,34.0233333333,110.525
P226,33.4116666667,115.841666667
P227,33.8333333333,115.933333333
P228,34.0,117.181666667
P229,27.645,104.961666667
P23,28.7419444444,120.726944444
P230,29.9116666667,117.083333333
P231,29.8966666667,117.188333333
P232,31.005,96.6233333333
P233,32.0983333333,108.263333333
P234,31.9,109.516666667
P235,31.075,109.883333333
P236,29.1666666667,121.066666667
P237,28.6233333333,121.113333333
P238,41.575,121.183333333
P239,37.62,101.0
P24,34.1383333333,110.455
P240,39.5833333333,96.2633333333
P241,38.9766666667,97.7433333333
P242,36.8166666667,102.911666667
P243,28.855,120.75
P244,32.3366666667,104.321666667
P246,26.5833333333,111.173333333
P247,31.4333333333,104.366666667
P248,31.4,105.251666667
P249,27.86,118.661666667
P25,28.9833333333,117.483333333
P250,35.175,119.453333333
P252,34.7883333333,113.668333333
P253,38.4166666667,118.916666667
P254,38.5166666667,118.65
P255,37.87,118.743333333
P256,37.6233333333,119.696666667
P257,43.2533333333,81.8666666667
P258,42.0816666667,80.895
P259,31.7516666667,107.066666667
P26,38.8783333333,90.9583333333
P260,28.3766666667,115.520555556
P261,27.75,115.656944444
P262,29.75,117.184166667
P263,28.9225,117.297777778
P264,28.355,115.361666667
P265,43.4166666667,86.4166666667
P266,31.1041666667,107.593333333
P267,27.2766666667,101.338333333
P27,40.465,97.4016666667
P278,44.4166666667,123.861666667
P279,35.2016666667,112.57
P28,36.8516666667,107.116666667
P285,36.68,115.096666667
P286,37.7166666667,116.673333333
P289,38.895,116.791666667
P29,34.06,106.495
P290,40.0616666667,119.028333333
P298,38.9033333333,118.47
P30,29.0833333333,119.616666667
P31,29.3333333333,115.751666667
P32,29.3466666667,111.578333333
P33,29.3516666667,117.808333333
P34,29.3858333333,116.6475
P35,35.6116666667,106.405
P36,30.0683333333,115.913333333
P38,31.405,112.14
P39,32.1766666667,115.566666667
P40,32.175,107.773333333
P41,32.4766666667,119.583333333
P43,32.9466666667,119.168333333
P44,33.48,118.706666667
P45,33.95,118.308333333
P46,34.0166666667,118.065
P47,27.295,117.168333333
P48,27.5433333333,117.698333333
P49,29.21,118.115
P51,30.89,115.9
P52,34.4383333333,112.191666667
P53,32.2183333333,109.778333333
P54,28.355,115.361666667
P55,27.9716666667,115.74
P56,29.1,115.833333333
P58,34.8783333333,117.761666667
P59,26.3766666667,109.64
P60,35.075,117.7
P61,29.5083333333,109.625
P62,33.5366666667,110.865
P63,33.9366666667,110.585
P64,35.6016666667,117.038333333
P65,36.3166666667,120.016666667
P66,38.1833333333,115.195
P67,38.87,121.83
P68,39.875,124.141666667
P69,42.185,116.475
P72,26.0366666667,105.21
P74,35.0866666667,119.371666667
P75,31.915,118.058333333
P81,28.2266666667,114.358333333
P84,26.2116666667,117.99
P86,37.0833333333,116.476666667
P89,37.0833333333,116.476666667
P93,24.1466666667,116.85
P96,29.7916666667,115.551666667
P98,38.25,120.351666667
PA,25.4066666667,110.058333333
PADNO,35.8466666667,113.293333333
PAMDA,38.8033333333,119.061666667
PAPA,21.9783333333,113.656666667
PAPSA,1.19833333333,110.141666667
PEK,40.0494166667,116.733916667
PENDO,4.0,125.35
PERCH,21.5097222222,113.922777778
PEXUN,30.9316666667,100.0
PH,23.365,113.37
PIKAS,32.1666666667,120.733333333
PILAX,2.315,111.39
PIMOL,32.2466666667,119.778333333
PINGT,40.3083333333,116.758333333
PINOT,31.45,122.45
PIX,34.3138888889,117.979166667
PK,31.285,121.331666667
PLOVE,22.4183333333,114.2325
PM,38.075,116.55
PN,1.555,124.928333333
POKOR,42.045,116.165
POLHO,44.7833333333,113.25
POMOK,31.45,121.116666667
POTID,33.3583333333,121.545
POU,23.0216666667,113.191666667
POXEL,4.64833333333,130.928333333
PQ,23.3616666667,116.7
PRAWN,22.2680555556,113.811111111
PS,29.1308333333,110.571111111
PSH,40.5333333333,111.95
PSN,34.3133333333,117.978333333
PT,37.1958333333,104.075
PU,41.5083333333,123.291666667
PUD,31.1705555556,121.781666667
PURPA,36.9416666667,75.4083333333
PUSIT,11.0,121.298333333
PV,25.5716666667,116.698333333
QC,37.2511111111,122.252777778
QD,50.1016666667,127.336666667
QI,35.5230555556,105.719722222
QIM,38.15,85.535
QIY,35.7983333333,107.598333333
QJ,26.4533333333,106.525
QJG,29.0483333333,106.655
QM,23.1052777778,113.144722222
QM1,44.6013888889,129.621111111
QNX,27.0433333333,106.028333333
QP,24.6583333333,110.791666667
QU,39.9925,116.609722222
QV,46.1530555556,122.057222222
QX,23.255,113.305
QY,26.8583333333,112.618333333
RA,33.8783333333,109.928333333
RC,38.45,106.146666667
RENOB,39.7503055556,115.447333333
RENQU,38.7,116.083333333
REPOL,37.6233333333,119.696666667
REVKI,42.5416666667,80.22
RG,31.15,97.175
RIVER,22.4022222222,114.181666667
RL,30.6316666667,114.28
RM,43.93,87.5866666667
RO,25.77,109.605
ROMEO,21.8633333333,113.448333333
ROX,11.5966666667,122.753333333
RP,28.62,115.706666667
RPITO,29.5833333333,124.0
RQ,33.3233333333,108.311666667
RS,43.9533333333,126.311666667
RULOP,41.2416666667,118.626666667
RUMBO,0.121666666667,125.781666667
RUPOX,27.1166666667,120.195
RW,22.3266666667,114.191666667
RZ,36.3047222222,113.135
SABED,28.3416666667,105.87
SABEM,41.0,117.166666667
SABGU,25.4933333333,134.991666667
SABIP,2.16166666667,107.845
SADAN,40.0766666667,86.0
SADEK,23.0044444444,123.965
SADLI,31.83,125.0
SAGAG,21.1916666667,101.623333333
SAGUT,35.0,120.72
SAJ,12.3616666667,121.042222222
SAKOD,22.88,113.96
SAKOT,32.5166666667,121.948333333
SALIS,41.9583333333,115.951666667
